epoch,train_loss,val_loss
1,0.00152094,0.00150355
2,0.000841256,0.000867086
3,0.000188341,0.000197309
4,0.000438719,0.00042978
5,0.000139066,0.000141226
6,0.000340527,0.000342026
7,0.000265181,0.000268331
8,0.000294524,0.0002935
9,0.000133444,0.00013001
10,6.95587e-05,6.86487e-05
11,0.000145993,0.000145682
12,8.22475e-05,8.10458e-05
13,0.000185545,0.000184039
14,8.5363e-05,8.45952e-05
15,0.00052554,0.000525549
16,4.33478e-05,4.67396e-05
17,0.000144501,0.000140649
18,8.16676e-05,8.30303e-05
19,8.29547e-05,8.0859e-05
20,0.000219413,0.000210194
21,7.94582e-05,8.00939e-05
22,0.00011016,0.000106755
23,9.40706e-05,9.66796e-05
24,0.000168586,0.000166011
25,0.00041232,0.000396318
26,0.000135164,0.000137859
27,0.000102943,0.000102927
28,0.000249044,0.000250402
29,5.46704e-05,5.52123e-05
30,0.00014817,0.000149186
31,5.1625e-05,5.35243e-05
32,7.16124e-05,7.14306e-05
33,6.65999e-05,6.80601e-05
34,4.53701e-05,4.64013e-05
35,9.94293e-05,0.00010016
36,0.000139677,0.000140863
37,9.29512e-05,9.30053e-05
38,8.00549e-05,7.93253e-05
39,6.56733e-05,6.76633e-05
40,0.000153676,0.000153634
41,0.000128751,0.00012287
42,0.000287588,0.000290043
43,0.000518172,0.000528559
44,0.0001268,0.000122974
45,6.4042e-05,6.26267e-05
46,0.00010781,0.000106785
47,0.000144294,0.000143877
48,7.16393e-05,7.11334e-05
49,0.00010332,0.000102926
50,6.98494e-05,6.81048e-05
51,9.69092e-05,0.000103143
52,0.000107303,0.000105656
53,0.000107696,0.000113648
54,0.000311841,0.000305588
55,9.25651e-05,9.23762e-05
56,5.716e-05,5.74361e-05
57,0.000245254,0.000241485
58,9.15597e-05,9.00243e-05
59,8.05507e-05,8.22634e-05
60,0.000176164,0.000178557
61,0.000208879,0.000217457
62,0.000204884,0.000206739
63,0.000121366,0.000119462
64,0.000101648,0.000101736
65,0.00018631,0.000185483
66,0.000159576,0.000158798
67,0.000715508,0.000709603
68,0.000281873,0.00027387
69,0.000105315,0.000107057
70,8.00381e-05,8.1252e-05
71,0.000152846,0.000150032
72,0.000193858,0.000192842
73,0.000229806,0.000234339
74,0.000224478,0.000231789
75,0.000178976,0.000181483
76,0.000228975,0.000233209
77,0.000146633,0.000154235
78,0.000369602,0.000369292
79,0.000110765,0.000109024
80,0.000118324,0.000119917
81,0.000115238,0.000117059
82,0.000167781,0.000166164
83,0.000418575,0.000412254
84,0.000170686,0.000158051
85,0.000381577,0.000369972
86,0.000318621,0.000322806
87,0.000194454,0.000189207
88,0.000222239,0.000220069
89,0.000216758,0.000211172
90,0.000201128,0.000204158
91,0.000135208,0.000137019
92,0.000150959,0.000149289
93,0.00011514,0.000114607
94,0.000262956,0.000263898
95,0.000195563,0.000193507
96,0.000133664,0.000132078
97,0.000288576,0.000290458
98,0.000133796,0.00013938
99,0.000147509,0.000152864
100,0.000263396,0.000266546
101,0.000210759,0.000207454
102,0.000100386,0.000101661
103,0.000571093,0.000559769
104,0.000146378,0.000138477
105,0.000118452,0.00011901
106,9.42753e-05,9.41283e-05
107,0.000156995,0.000161087
108,8.27375e-05,8.24353e-05
109,0.000148063,0.00014667
110,0.001018,0.00102128
111,0.000194904,0.000197749
112,0.000156912,0.000154644
113,0.000336991,0.000341108
114,0.000189136,0.000180556
115,0.000574834,0.000573817
116,0.00024904,0.000266486
117,0.000113802,0.000113997
118,0.00078917,0.00080362
119,0.000670979,0.000693549
120,0.00011357,0.000114222
121,0.0001574,0.000158066
122,0.000425014,0.000432772
123,0.000122648,0.000120361
124,0.000248666,0.000245908
125,0.000177918,0.000185367
126,0.000190819,0.000197152
127,0.000468938,0.000467578
128,0.000144317,0.000139704
129,0.000188828,0.000189568
130,0.000137053,0.000143858
131,0.000145857,0.000151386
132,0.000152407,0.000155981
133,0.000738102,0.000729808
134,0.000316368,0.000305366
135,0.00049994,0.000494214
136,0.00029288,0.000292861
137,0.00135962,0.00133109
138,0.000170633,0.000171339
139,0.000135376,0.00013456
140,0.000176983,0.000180679
141,0.000260321,0.000250869
142,0.000237118,0.000239708
143,0.000242235,0.00024359
144,0.000313823,0.000297122
145,0.000124038,0.000131941
146,0.000250392,0.00025264
147,0.000662588,0.000685257
148,0.000319026,0.000316123
149,0.000312781,0.000307829
150,0.000336389,0.000344085
151,0.000118425,0.000119377
152,0.000108079,0.000109569
153,0.000163861,0.000164595
154,0.000197583,0.00020269
155,0.000277686,0.00028774
156,0.000490669,0.000498638
157,0.0002067,0.00019311
158,0.000146824,0.000137352
159,0.000117795,0.000117838
160,8.7155e-05,8.7203e-05
161,0.000250399,0.000238316
162,0.000193296,0.000197577
163,0.000120612,0.000122058
164,7.18453e-05,7.29021e-05
165,8.42321e-05,8.47738e-05
166,0.000109583,0.0001015
167,0.000736226,0.000730658
168,0.000258884,0.000251454
169,6.16943e-05,6.10073e-05
170,7.68739e-05,7.13047e-05
171,0.000196664,0.000185742
172,9.78439e-05,9.96653e-05
173,6.39937e-05,5.78456e-05
174,0.000841356,0.000870513
175,0.000375607,0.00036753
176,0.000149271,0.000152292
177,0.000130019,0.000124147
178,0.000122282,0.000121955
179,0.000205228,0.000210156
180,0.000565314,0.000544624
181,0.000830667,0.000819937
182,0.000137387,0.000134723
183,0.000355741,0.000344216
184,0.000543932,0.000534937
185,0.000192602,0.000188861
186,0.000195947,0.000190179
187,0.000114143,0.000109797
188,0.000140512,0.000136183
189,0.000272405,0.00027109
190,9.61957e-05,9.77811e-05
191,9.10853e-05,8.51652e-05
192,0.000306315,0.000307751
193,0.000202803,0.000213426
194,8.75319e-05,8.93908e-05
195,8.30661e-05,8.4457e-05
196,4.37285e-05,4.57906e-05
197,0.000202266,0.00021134
198,7.31268e-05,7.49713e-05
199,6.98825e-05,7.54841e-05
200,0.000180851,0.000183843
201,7.56716e-05,7.5907e-05
202,7.24491e-05,7.59897e-05
203,3.90175e-05,4.0556e-05
204,0.00011579,0.000118904
205,0.000221626,0.000223783
206,9.3798e-05,9.40855e-05
207,6.85554e-05,7.00377e-05
208,3.21727e-05,3.34008e-05
209,0.000116148,0.000119694
210,0.000114238,0.000112451
211,5.2823e-05,5.27968e-05
